"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1","airway","kabul","delet","cscc","clotur","yep","palau","comm","preview","cingular","assad","centuri","israel","boehner","agi","outreach","belfast","schedule","coleman","gelb"
"2","seci","taliban","obl","btw","okay","readout","nuclear","doc","chines","xpress","bashar","planning","isra","pelosi","hbj","staf","grameen","abedin","todaythursday","shes"
"3","yorklaguardia","afghan","confidential","asap","hello","preines","tehran","tnc","trip","fysa","damascus","statecraft","flotilla","tea","dav","usaid","declan","strob","shilpa","les"
"4","preceding","kayani","dem","youd","wait","ambo","iran","qadhafi","cgi","att","alassad","gender","netanyahus","reid","pls","kenya","hondura","lauren","todaytuesday","clinton"
"5","laguardia","eikenberri","virus","happi","youv","update","reiter","redact","copenhagen","rch","murphy","women","aipac","tax","isabell","digit","yunus","derek","clair","axelrod"
"6","wpotus","hiker","resend","sandi","things","shuttle","egyptian","benghazi","japan","blackberri","syrian","femal","bibi","scandal","thx","usg","zelaya","suu","interpretation","rahm"
"7","spray","afghanistan","notifi","sec","anyth","mil","iaea","foia","cambodia","tps","syria","germani","gaza","gop","tonit","initiative","clearanc","kyi","monica","mcdonough"
"8","wpresid","petraeus","england","items","mayb","fyi","resolut","saif","japanes","jacob","nofli","valu","jew","republican","memcon","ngo","tori","capricia","hanley","carter"
"9","wisra","karzai","sender","ill","ive","bbd","morsi","statescb","questions","mashaban","robertson","girl","jewish","black","print","bureaus","ireland","aung","chappaqua","beast"
"10","dropbi","pakistan","email","nice","theyll","kay","iranian","waiver","drc","verizon","haiti","male","freez","recess","thru","format","hagu","min","claire","hed"
